id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
200609070002,Subway Sandwiches & Salads #15051,150,Market Place Drive,Oakdale,PA,15071,North Fayette,212,Chain Restaurant without Liquor,1,2006-08-30,2006-08-30,22,,0,1,1,-80.2397591380776,40.4413703384312,150 Market Place Drive Oakdale PA 15071
200609070006,Cuzamil Restaurante Mexicano,2107,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,201,Restaurant with Liquor,0,2006-10-01,2006-10-01,50,,0,7,1,,,2107 Murray Ave Pittsburgh PA 15217
200609080001,Eggs N'at,8556,University Blvd,Coraopolis,PA,15108,Moon,211,Restaurant without Liquor,1,2006-09-05,2006-09-05,32,,0,1,1,-80.2236210680587,40.5075555505151,8556 University Blvd Coraopolis PA 15108
200609080003,Shanthi Supermarket,1008,Greentree Road,Pittsburgh,PA,15220,Greentree,115,Packaged Food Only,1,2006-09-01,2006-09-01,0,,1500,1,1,-80.0452287058656,40.4165078783043,1008 Greentree Road Pittsburgh PA 15220
200609110003,Raney Day Learning Center,879,Freeport Road,Creighton,PA,15030,East Deer,403,Child Food Service,1,2006-09-07,2006-09-07,0,,200,1,1,-79.7792575639904,40.5817385667233,879 Freeport Road Creighton PA 15030
200609130004,AIU Penn Hills Lincoln Park Headstart I,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,403,Child Food Service,1,2006-09-08,2006-09-08,0,,200,1,1,-79.8857334955883,40.4675770124053,7300 Ridgeview Ave Pittsburgh PA 15235
200609130005,AIU Penn Hills Lincoln Park Headstart II,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,403,Child Food Service,1,2006-09-08,2006-09-08,0,,110,1,1,-79.8857334955883,40.4675770124053,7300 Ridgeview Ave Pittsburgh PA 15235
200609130006,Lincoln Park Community Center Food Pantry,7300,Ridgeview  Avenue,Pittsburgh,PA,15235,Penn Hills,412,Food Banks/ Food Pantries,2,2006-09-08,2006-09-08,0,,200,1,1,-79.8857334955883,40.4675770124053,7300 Ridgeview  Avenue Pittsburgh PA 15235
200609130007,AIU Lincoln Park Family Center and After-School Program,7300,Ridgeview  Avenue,Pittsburgh,PA,15235,Penn Hills,403,Child Food Service,1,2006-09-08,2006-09-08,0,,300,1,1,-79.8857334955883,40.4675770124053,7300 Ridgeview  Avenue Pittsburgh PA 15235
200609140002,Fairmont Apartment Kitchen,5461,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-111,401,Adult Food Service,1,2006-09-08,2006-09-08,0,,2000,1,1,-79.9339371770545,40.464743102707,5461 Penn Ave Pittsburgh PA 15206
200609180002,Tom & Tuds,353,Freeport Rd,Pittsburgh,PA,15215,Aspinwall,201,Restaurant with Liquor,1,2005-10-19,2005-10-19,30,,0,1,1,-79.9013548427446,40.4890637013727,353 Freeport Rd Pittsburgh PA 15215
200609180004,Microtel Inn & Suites,900,Chauvet  Drive,Pittsburgh,PA,15275,North Fayette,303,Rooming House with Guest food Service,0,2006-06-01,2006-06-01,0,99,0,1,1,-80.182320140671,40.4480513716079,900 Chauvet  Drive Pittsburgh PA 15275
200609180005,AIU Headstart / Church of Brethren,481,Center Rd,Monroeville,PA,15146,Monroeville,403,Child Food Service,1,2006-09-08,2006-09-08,0,,17,1,1,-79.7605914346767,40.4560176505577,481 Center Rd Monroeville PA 15146
200609180007,Pittzarella,5832,Library  Road,Bethel Park,PA,15102,Bethel Park,211,Restaurant without Liquor,1,2006-09-11,2006-09-11,4,,0,1,1,-80.0333556877687,40.3091250931437,5832 Library  Road Bethel Park PA 15102
200609190001,Eggs-R-Us,2350,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,211,Restaurant without Liquor,1,2006-09-15,2006-09-15,48,,0,1,1,-80.055746546541,40.4274554483229,2350 Noblestown Rd Pittsburgh PA 15205
200609190003,AIU Woodland Hills / Brinton Head Start,1200,Wolfe  Avenue,Braddock,PA,15104,North Braddock,403,Child Food Service,1,2006-09-13,2006-09-13,0,,530,1,1,-79.8457995622453,40.406165008074,1200 Wolfe  Avenue Braddock PA 15104
200609200001,Exxon Cheswick,1003,Freeport Road,Cheswick,PA,15024,Harmar,114,Chain Retail/Convenience Store,1,2006-09-11,2006-09-11,0,,300,7,1,-79.8141481756799,40.5407529633934,1003 Freeport Road Cheswick PA 15024
200609200004,Flamer's Grill / Oh! Oh! Burrito,1000,Ross Park Mall Dr,Pittsburgh,PA,15237,Ross,212,Chain Restaurant without Liquor,0,2006-09-13,2006-09-13,0,,0,7,1,-80.008468425933,40.542892812726,1000 Ross Park Mall Dr Pittsburgh PA 15237
200609210001,Pgh Arlington PK-8 Primary & ECC,2429,Charcot Street,Pittsburgh,PA,15210,Pittsburgh-116,653,School Satellite Kitchen,1,2006-08-21,2006-08-21,0,,400,7,1,-79.9715722336894,40.4171996323193,2429 Charcot Street Pittsburgh PA 15210
200609250001,Shop 'n Save,4313,Walnut  Street,Mc Keesport,PA,15132,Versailles,112,Chain Supermarket,1,2006-09-13,2006-09-13,0,,23865,1,1,-79.8336933853579,40.3219335823086,4313 Walnut  Street Mc Keesport PA 15132
200609260001,Hyde Park Prime Steakhouse,247,North Shore  Drive,Pittsburgh,PA,15212,Pittsburgh-122,201,Restaurant with Liquor,1,2006-09-26,2006-09-26,300,,0,1,1,,,247 North Shore  Drive Pittsburgh PA 15212
200609260002,Olivia's Banquet Facility / Foster's Pub,318,Forest Grove Road,Coraopolis,PA,15108,Kennedy,201,Restaurant with Liquor,1,2006-09-14,2006-09-14,10,,0,1,1,-80.1070897828413,40.4809740550591,318 Forest Grove Road Coraopolis PA 15108
200609260004,Brookline Kids,1036,Brookline Boulevard,Pittsburgh,PA,15226,Pittsburgh-119,403,Child Food Service,1,2006-09-15,2006-09-15,0,,250,7,1,-80.0165363780588,40.3915324390067,1036 Brookline Boulevard Pittsburgh PA 15226
200609270001,Courtyard by Marriott / Monroeville Restaurant,3962,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,202,Chain Restaurant with Liquor,1,2006-10-01,2006-10-01,46,,0,7,1,-79.7733241626874,40.4372449317224,3962 Wm Penn Hwy Monroeville PA 15146
200610020001,T.G.I. Friday's Pub,,Pgh Intl Airport / NW-07,Pittsburgh,PA,15231,Findlay,202,Chain Restaurant with Liquor,1,2006-09-29,2006-09-29,32,,0,7,1,,,Pgh Intl Airport / NW-07 Pittsburgh PA 15231
200610030002,Wolvarena Stadium Satellite Kitchen,1025,Lynn Ave,Turtle Creek,PA,15145,Turtle Creek,656,School Snack Bar,1,2006-09-15,2006-09-15,0,,330,1,1,-79.8202180424593,40.4057570433897,1025 Lynn Ave Turtle Creek PA 15145
200610030003,Quiznos Subs #8721,300,S Craig St,Pittsburgh,PA,15213,Pittsburgh-104,212,Chain Restaurant without Liquor,1,2006-09-25,2006-09-25,41,,0,1,1,-79.9491428755662,40.4455595481227,300 S Craig St Pittsburgh PA 15213
200610030006,Starbucks Coffee #11147,2025,Pittsburgh Mills Blvd,Tarentum,PA,15084,Frazer,212,Chain Restaurant without Liquor,1,2006-09-27,2006-09-27,25,,0,1,1,-79.8025834212961,40.5704343381015,2025 Pittsburgh Mills Blvd Tarentum PA 15084
200610040001,Marriott City Center Pittsburgh / Starbucks #75873,112,Washington  Place,Pittsburgh,PA,15219,Pittsburgh-103,212,Chain Restaurant without Liquor,1,2006-06-21,2006-06-21,16,,0,1,1,-79.9922428810661,40.4394443534059,112 Washington  Place Pittsburgh PA 15219
200610050004,Frank's Pizza & Chicken,1722,Mt Royal Blvd,Glenshaw,PA,15116,Shaler,211,Restaurant without Liquor,1,2006-09-05,2006-09-05,40,,0,1,1,,,1722 Mt Royal Blvd Glenshaw PA 15116
200610050005,Macy's #620,1000,Ross Park Mall Drive,Pittsburgh,PA,15237,Ross,116,Chain Packaged Food Only,2,2006-09-26,2006-09-26,0,,200,1,1,-80.008468425933,40.542892812726,1000 Ross Park Mall Drive Pittsburgh PA 15237
200610050006,"Hook, Fish & Chicken",1221,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,212,Chain Restaurant without Liquor,1,2006-09-27,2006-09-27,0,,0,1,1,-80.0072046719748,40.4564797483485,1221 Federal Street Pittsburgh PA 15212
200610050007,Nic's Tobacco Outlet,1620,Lincoln Way,Mc Keesport,PA,15131,White Oak,116,Chain Packaged Food Only,2,2006-09-29,2006-09-29,0,,220,1,1,-79.8171292130634,40.3471086582768,1620 Lincoln Way Mc Keesport PA 15131
200610050009,Ricci's Italian Sausage,5888,Steubenville  Pike,Mc Kees Rocks,PA,15136,Robinson,172,Food Processor,1,2006-09-29,2006-09-29,0,,1328,7,1,-80.1420544219608,40.449299529091,5888 Steubenville  Pike Mc Kees Rocks PA 15136
